"day","case","new_case","msa"
2020-05-01,13430,338,"Atlanta"
2020-05-02,13860,430,"Atlanta"
2020-05-03,14097,237,"Atlanta"
2020-01-21,0,0,"Boston"
2020-01-22,0,0,"Boston"
2020-01-23,0,0,"Boston"
2020-01-24,0,0,"Boston"
2020-01-25,0,0,"Boston"
2020-01-26,0,0,"Boston"
2020-01-27,0,0,"Boston"
2020-01-28,0,0,"Boston"
2020-01-29,0,0,"Boston"
2020-01-30,0,0,"Boston"
2020-01-31,0,0,"Boston"
2020-02-01,1,1,"Boston"
2020-02-02,1,0,"Boston"
2020-02-03,1,0,"Boston"
2020-02-04,1,0,"Boston"
2020-02-05,1,0,"Boston"
2020-02-06,1,0,"Boston"
2020-02-07,1,0,"Boston"
2020-02-08,1,0,"Boston"
2020-02-09,1,0,"Boston"
2020-02-10,1,0,"Boston"
2020-02-11,1,0,"Boston"
2020-02-12,1,0,"Boston"
2020-02-13,1,0,"Boston"
2020-02-14,1,0,"Boston"
2020-02-15,1,0,"Boston"
2020-02-16,1,0,"Boston"
2020-03-30,4055,574,"Boston"
2020-03-31,4859,804,"Boston"
2020-04-01,5665,806,"Boston"
2020-04-02,6569,904,"Boston"
2020-04-03,7639,1070,"Boston"
2020-04-04,8650,1011,"Boston"
2020-04-05,9304,654,"Boston"
2020-04-06,10273,969,"Boston"
2020-04-07,11360,1087,"Boston"
2020-04-08,12669,1309,"Boston"
2020-04-09,14262,1593,"Boston"
2020-04-10,15902,1640,"Boston"
2020-04-11,17270,1368,"Boston"
2020-04-12,19266,1996,"Boston"
2020-04-13,20375,1109,"Boston"
2020-04-14,21343,968,"Boston"
2020-04-15,22752,1409,"Boston"
2020-04-16,24588,1836,"Boston"
2020-04-17,26209,1621,"Boston"
2020-04-18,27812,1603,"Boston"
2020-04-19,29158,1346,"Boston"
2020-04-20,30399,1241,"Boston"
2020-04-21,31520,1121,"Boston"
2020-04-22,33039,1519,"Boston"
2020-04-23,35426,2387,"Boston"
2020-04-24,39079,3653,"Boston"
2020-04-25,40957,1878,"Boston"
2020-04-26,42214,1257,"Boston"
2020-04-27,43324,1110,"Boston"
2020-04-28,44637,1313,"Boston"
2020-04-29,46098,1461,"Boston"
2020-04-30,47583,1485,"Boston"
2020-05-01,49178,1595,"Boston"
2020-05-02,50589,1411,"Boston"
2020-05-03,51493,904,"Boston"
2020-01-21,0,0,"Chicago"
2020-01-22,0,0,"Chicago"
2020-01-23,0,0,"Chicago"
2020-01-24,1,1,"Chicago"
2020-01-25,1,0,"Chicago"
2020-01-26,1,0,"Chicago"
2020-01-27,1,0,"Chicago"
2020-01-28,1,0,"Chicago"
2020-01-29,1,0,"Chicago"
2020-01-30,2,1,"Chicago"
2020-01-31,2,0,"Chicago"
2020-02-01,2,0,"Chicago"
2020-02-02,2,0,"Chicago"
2020-02-03,2,0,"Chicago"
2020-02-04,2,0,"Chicago"
2020-02-05,2,0,"Chicago"
2020-02-06,2,0,"Chicago"
2020-02-07,2,0,"Chicago"
2020-02-08,2,0,"Chicago"
2020-02-09,2,0,"Chicago"
2020-02-10,2,0,"Chicago"
2020-02-11,2,0,"Chicago"
2020-02-12,2,0,"Chicago"
2020-02-13,2,0,"Chicago"
2020-02-14,2,0,"Chicago"
2020-02-15,2,0,"Chicago"
2020-02-16,2,0,"Chicago"
2020-03-30,4958,433,"Chicago"
2020-03-31,5906,948,"Chicago"
2020-04-01,6871,965,"Chicago"
2020-04-02,7569,698,"Chicago"
2020-04-03,8759,1190,"Chicago"
2020-04-04,10202,1443,"Chicago"
2020-04-05,11051,849,"Chicago"
2020-04-06,11991,940,"Chicago"
2020-04-07,13213,1222,"Chicago"
2020-04-08,14646,1433,"Chicago"
2020-04-09,15919,1273,"Chicago"
2020-04-10,17314,1395,"Chicago"
2020-04-11,18646,1332,"Chicago"
2020-04-12,20300,1654,"Chicago"
2020-04-13,21478,1178,"Chicago"
2020-04-14,22668,1190,"Chicago"
2020-04-15,24004,1336,"Chicago"
2020-04-16,25146,1142,"Chicago"
2020-04-17,26926,1780,"Chicago"
2020-04-18,28410,1484,"Chicago"
2020-04-19,29523,1113,"Chicago"
2020-04-20,30662,1139,"Chicago"
2020-04-21,32091,1429,"Chicago"
2020-04-22,33933,1842,"Chicago"
2020-04-23,35741,1808,"Chicago"
2020-04-24,38324,2583,"Chicago"
2020-04-25,40310,1986,"Chicago"
2020-04-26,42241,1931,"Chicago"
2020-04-27,44120,1879,"Chicago"
2020-04-28,46229,2109,"Chicago"
2020-04-29,48363,2134,"Chicago"
2020-04-30,50720,2357,"Chicago"
2020-05-01,53843,3123,"Chicago"
2020-05-02,56260,2417,"Chicago"
2020-05-03,59059,2799,"Chicago"
2020-01-21,0,0,"Dallas"
2020-01-22,0,0,"Dallas"
2020-01-23,0,0,"Dallas"
2020-01-24,0,0,"Dallas"
2020-01-25,0,0,"Dallas"
2020-01-26,0,0,"Dallas"
2020-01-27,0,0,"Dallas"
2020-01-28,0,0,"Dallas"
2020-01-29,0,0,"Dallas"
2020-01-30,0,0,"Dallas"
2020-01-31,0,0,"Dallas"
2020-02-01,0,0,"Dallas"
2020-02-02,0,0,"Dallas"
2020-02-03,0,0,"Dallas"
2020-02-04,0,0,"Dallas"
2020-02-05,0,0,"Dallas"
2020-02-06,0,0,"Dallas"
2020-02-07,0,0,"Dallas"
2020-02-08,0,0,"Dallas"
2020-02-09,0,0,"Dallas"
2020-02-10,0,0,"Dallas"
2020-02-11,0,0,"Dallas"
2020-02-12,0,0,"Dallas"
2020-02-13,0,0,"Dallas"
2020-02-14,0,0,"Dallas"
2020-02-15,0,0,"Dallas"
2020-02-16,0,0,"Dallas"
2020-03-30,1078,163,"Dallas"
2020-03-31,1213,135,"Dallas"
2020-04-01,1490,277,"Dallas"
2020-04-02,1686,196,"Dallas"
2020-04-03,1884,198,"Dallas"
2020-04-04,2044,160,"Dallas"
2020-04-05,2178,134,"Dallas"
2020-04-06,2348,170,"Dallas"
2020-04-07,2529,181,"Dallas"
2020-04-08,2804,275,"Dallas"
2020-04-09,3032,228,"Dallas"
2020-04-10,3239,207,"Dallas"
2020-04-11,3435,196,"Dallas"
2020-04-12,3641,206,"Dallas"
2020-04-13,3840,199,"Dallas"
2020-04-14,4014,174,"Dallas"
2020-04-15,4207,193,"Dallas"
2020-04-16,4353,146,"Dallas"
2020-04-17,4733,380,"Dallas"
2020-04-18,4936,203,"Dallas"
2020-04-19,5065,129,"Dallas"
2020-04-20,5190,125,"Dallas"
2020-04-21,5433,243,"Dallas"
2020-04-22,5683,250,"Dallas"
2020-04-23,5943,260,"Dallas"
2020-04-24,6207,264,"Dallas"
2020-04-25,6490,283,"Dallas"
2020-04-26,6728,238,"Dallas"
2020-04-27,6932,204,"Dallas"
2020-04-28,7181,249,"Dallas"
2020-04-29,7432,251,"Dallas"
2020-04-30,7748,316,"Dallas"
2020-05-01,8152,404,"Dallas"
2020-05-02,8522,370,"Dallas"
2020-05-03,8847,325,"Dallas"
2020-01-21,0,0,"Houston"
2020-01-22,0,0,"Houston"
2020-01-23,0,0,"Houston"
2020-01-24,0,0,"Houston"
2020-01-25,0,0,"Houston"
2020-01-26,0,0,"Houston"
2020-01-27,0,0,"Houston"
2020-01-28,0,0,"Houston"
2020-01-29,0,0,"Houston"
2020-01-30,0,0,"Houston"
2020-01-31,0,0,"Houston"
2020-02-01,0,0,"Houston"
2020-02-02,0,0,"Houston"
2020-02-03,0,0,"Houston"
2020-02-04,0,0,"Houston"
2020-02-05,0,0,"Houston"
2020-02-06,0,0,"Houston"
2020-02-07,0,0,"Houston"
2020-02-08,0,0,"Houston"
2020-02-09,0,0,"Houston"
2020-02-10,0,0,"Houston"
2020-02-11,0,0,"Houston"
2020-02-12,0,0,"Houston"
2020-02-13,0,0,"Houston"
2020-02-14,0,0,"Houston"
2020-02-15,0,0,"Houston"
2020-02-16,0,0,"Houston"
2020-03-30,913,63,"Houston"
2020-03-31,1115,202,"Houston"
2020-04-01,1350,235,"Houston"
2020-04-02,1462,112,"Houston"
2020-04-03,1732,270,"Houston"
2020-04-04,2067,335,"Houston"
2020-04-05,2220,153,"Houston"
2020-04-06,2734,514,"Houston"
2020-04-07,3110,376,"Houston"
2020-04-08,3479,369,"Houston"
2020-04-09,4251,772,"Houston"
2020-04-10,4578,327,"Houston"
2020-04-11,4972,394,"Houston"
2020-04-12,5069,97,"Houston"
2020-04-13,5258,189,"Houston"
2020-04-14,5524,266,"Houston"
2020-04-15,5816,292,"Houston"
2020-04-16,6097,281,"Houston"
2020-04-17,6360,263,"Houston"
2020-04-18,6637,277,"Houston"
2020-04-19,6856,219,"Houston"
2020-04-20,7073,217,"Houston"
2020-04-21,7297,224,"Houston"
2020-04-22,7509,212,"Houston"
2020-04-23,7699,190,"Houston"
2020-04-24,7937,238,"Houston"
2020-04-25,8146,209,"Houston"
2020-04-26,8297,151,"Houston"
2020-04-27,8446,149,"Houston"
2020-04-28,8674,228,"Houston"
2020-04-29,8943,269,"Houston"
2020-04-30,9243,300,"Houston"
2020-05-01,9542,299,"Houston"
2020-05-02,9780,238,"Houston"
2020-05-03,9978,198,"Houston"
2020-01-21,0,0,"Los Angeles"
2020-01-22,0,0,"Los Angeles"
2020-01-23,0,0,"Los Angeles"
2020-01-24,0,0,"Los Angeles"
2020-01-25,1,1,"Los Angeles"
2020-01-26,2,1,"Los Angeles"
2020-01-27,2,0,"Los Angeles"
2020-01-28,2,0,"Los Angeles"
2020-01-29,2,0,"Los Angeles"
2020-01-30,2,0,"Los Angeles"
2020-01-31,2,0,"Los Angeles"
2020-02-01,2,0,"Los Angeles"
2020-02-02,2,0,"Los Angeles"
2020-02-03,2,0,"Los Angeles"
2020-02-04,2,0,"Los Angeles"
2020-02-05,2,0,"Los Angeles"
2020-02-06,2,0,"Los Angeles"
2020-02-07,2,0,"Los Angeles"
2020-02-08,2,0,"Los Angeles"
2020-02-09,2,0,"Los Angeles"
2020-02-10,2,0,"Los Angeles"
2020-02-11,2,0,"Los Angeles"
2020-02-12,2,0,"Los Angeles"
2020-02-13,2,0,"Los Angeles"
2020-02-14,2,0,"Los Angeles"
2020-02-15,2,0,"Los Angeles"
2020-02-16,2,0,"Los Angeles"
2020-03-30,2938,371,"Los Angeles"
2020-03-31,3513,575,"Los Angeles"
2020-04-01,4124,611,"Los Angeles"
2020-04-02,4701,577,"Los Angeles"
2020-04-03,5277,576,"Los Angeles"
2020-04-04,6063,786,"Los Angeles"
2020-04-05,6774,711,"Los Angeles"
2020-04-06,7242,468,"Los Angeles"
2020-04-07,7841,599,"Los Angeles"
2020-04-08,8546,705,"Los Angeles"
2020-04-09,9034,488,"Los Angeles"
2020-04-10,9568,534,"Los Angeles"
2020-04-11,10094,526,"Los Angeles"
2020-04-12,10469,375,"Los Angeles"
2020-04-13,10703,234,"Los Angeles"
2020-04-14,11346,643,"Los Angeles"
2020-04-15,11872,526,"Los Angeles"
2020-04-16,12279,407,"Los Angeles"
2020-04-17,12892,613,"Los Angeles"
2020-04-18,13577,685,"Los Angeles"
2020-04-19,13977,400,"Los Angeles"
2020-04-20,15492,1515,"Los Angeles"
2020-04-21,16831,1339,"Los Angeles"
2020-04-22,18188,1357,"Los Angeles"
2020-04-23,19335,1147,"Los Angeles"
2020-04-24,20390,1055,"Los Angeles"
2020-04-25,21076,686,"Los Angeles"
2020-04-26,21602,526,"Los Angeles"
2020-04-27,22543,941,"Los Angeles"
2020-04-28,23174,631,"Los Angeles"
2020-04-29,24809,1635,"Los Angeles"
2020-04-30,25603,794,"Los Angeles"
2020-05-01,26806,1203,"Los Angeles"
2020-05-02,27554,748,"Los Angeles"
2020-05-03,28436,882,"Los Angeles"
2020-01-21,0,0,"Miami"
2020-01-22,0,0,"Miami"
2020-01-23,0,0,"Miami"
2020-01-24,0,0,"Miami"
2020-01-25,0,0,"Miami"
2020-01-26,0,0,"Miami"
2020-01-27,0,0,"Miami"
2020-01-28,0,0,"Miami"
2020-01-29,0,0,"Miami"
2020-01-30,0,0,"Miami"
2020-01-31,0,0,"Miami"
2020-02-01,0,0,"Miami"
2020-02-02,0,0,"Miami"
2020-02-03,0,0,"Miami"
2020-02-04,0,0,"Miami"
2020-02-05,0,0,"Miami"
2020-02-06,0,0,"Miami"
2020-02-07,0,0,"Miami"
2020-02-08,0,0,"Miami"
2020-02-09,0,0,"Miami"
2020-02-10,0,0,"Miami"
2020-02-11,0,0,"Miami"
2020-02-12,0,0,"Miami"
2020-02-13,0,0,"Miami"
2020-02-14,0,0,"Miami"
2020-02-15,0,0,"Miami"
2020-02-16,0,0,"Miami"
2020-03-30,3299,434,"Miami"
2020-03-31,3893,594,"Miami"
2020-04-01,4379,486,"Miami"
2020-04-02,5101,722,"Miami"
2020-04-03,5817,716,"Miami"
2020-04-04,6606,789,"Miami"
2020-04-05,7029,423,"Miami"
2020-04-06,7825,796,"Miami"
2020-04-07,8512,687,"Miami"
2020-04-08,9047,535,"Miami"
2020-04-09,9708,661,"Miami"
2020-04-10,10407,699,"Miami"
2020-04-11,11100,693,"Miami"
2020-04-12,11646,546,"Miami"
2020-04-13,12337,691,"Miami"
2020-04-14,12710,373,"Miami"
2020-04-15,13245,535,"Miami"
2020-04-16,13656,411,"Miami"
2020-04-17,14597,941,"Miami"
2020-04-18,15018,421,"Miami"
2020-04-19,15492,474,"Miami"
2020-04-20,15992,500,"Miami"
2020-04-21,16541,549,"Miami"
2020-04-22,16781,240,"Miami"
2020-04-23,17570,789,"Miami"
2020-04-24,18114,544,"Miami"
2020-04-25,18275,161,"Miami"
2020-04-26,18774,499,"Miami"
2020-04-27,19124,350,"Miami"
2020-04-28,19552,428,"Miami"
2020-04-29,19733,181,"Miami"
2020-04-30,19977,244,"Miami"
2020-05-01,20571,594,"Miami"
2020-05-02,20966,395,"Miami"
2020-05-03,21214,248,"Miami"
2020-01-21,0,0,"New York"
2020-01-22,0,0,"New York"
2020-01-23,0,0,"New York"
2020-01-24,0,0,"New York"
2020-01-25,0,0,"New York"
2020-01-26,0,0,"New York"
2020-01-27,0,0,"New York"
2020-01-28,0,0,"New York"
2020-01-29,0,0,"New York"
2020-01-30,0,0,"New York"
2020-01-31,0,0,"New York"
2020-02-01,0,0,"New York"
2020-02-02,0,0,"New York"
2020-02-03,0,0,"New York"
2020-02-04,0,0,"New York"
2020-02-05,0,0,"New York"
2020-02-06,0,0,"New York"
2020-02-07,0,0,"New York"
2020-02-08,0,0,"New York"
2020-02-09,0,0,"New York"
2020-02-10,0,0,"New York"
2020-02-11,0,0,"New York"
2020-02-12,0,0,"New York"
2020-02-13,0,0,"New York"
2020-02-14,0,0,"New York"
2020-02-15,0,0,"New York"
2020-02-16,0,0,"New York"
2020-03-30,75505,9465,"New York"
2020-03-31,85888,10383,"New York"
2020-04-01,95855,9967,"New York"
2020-04-02,106635,10780,"New York"
2020-04-03,120398,13763,"New York"
2020-04-04,136323,15925,"New York"
2020-04-05,146775,10452,"New York"
2020-04-06,158842,12067,"New York"
2020-04-07,170949,12107,"New York"
2020-04-08,183347,12398,"New York"
2020-04-09,196761,13414,"New York"
2020-04-10,210118,13357,"New York"
2020-04-11,222379,12261,"New York"
2020-04-12,233144,10765,"New York"
2020-04-13,241693,8549,"New York"
2020-04-14,251635,9942,"New York"
2020-04-15,265179,13544,"New York"
2020-04-16,277205,12026,"New York"
2020-04-17,287251,10046,"New York"
2020-04-18,296501,9250,"New York"
2020-04-19,305577,9076,"New York"
2020-04-20,313051,7474,"New York"
2020-04-21,320190,7139,"New York"
2020-04-22,327874,7684,"New York"
2020-04-23,336999,9125,"New York"
2020-04-24,346806,9807,"New York"
2020-04-25,358031,11225,"New York"
2020-04-26,366172,8141,"New York"
2020-04-27,371096,4924,"New York"
2020-04-28,375921,4825,"New York"
2020-04-29,382136,6215,"New York"
2020-04-30,387960,5824,"New York"
2020-05-01,393129,5169,"New York"
2020-05-02,398841,5712,"New York"
2020-05-03,404362,5521,"New York"
2020-01-21,0,0,"Philadelphia"
2020-01-22,0,0,"Philadelphia"
2020-01-23,0,0,"Philadelphia"
2020-01-24,0,0,"Philadelphia"
2020-01-25,0,0,"Philadelphia"
2020-01-26,0,0,"Philadelphia"
2020-01-27,0,0,"Philadelphia"
2020-01-28,0,0,"Philadelphia"
2020-01-29,0,0,"Philadelphia"
2020-01-30,0,0,"Philadelphia"
2020-01-31,0,0,"Philadelphia"
2020-02-01,0,0,"Philadelphia"
2020-02-02,0,0,"Philadelphia"
2020-02-03,0,0,"Philadelphia"
2020-02-04,0,0,"Philadelphia"
2020-02-05,0,0,"Philadelphia"
2020-02-06,0,0,"Philadelphia"
2020-02-07,0,0,"Philadelphia"
2020-02-08,0,0,"Philadelphia"
2020-02-09,0,0,"Philadelphia"
2020-02-10,0,0,"Philadelphia"
2020-02-11,0,0,"Philadelphia"
2020-02-12,0,0,"Philadelphia"
2020-02-13,0,0,"Philadelphia"
2020-02-14,0,0,"Philadelphia"
2020-02-15,0,0,"Philadelphia"
2020-02-16,0,0,"Philadelphia"
2020-03-30,2949,400,"Philadelphia"
2020-03-31,3468,519,"Philadelphia"
2020-04-01,3973,505,"Philadelphia"
2020-04-02,4728,755,"Philadelphia"
2020-04-03,5658,930,"Philadelphia"
2020-04-04,6661,1003,"Philadelphia"
2020-04-05,7706,1045,"Philadelphia"
2020-04-06,8815,1109,"Philadelphia"
2020-04-07,9740,925,"Philadelphia"
2020-04-08,11015,1275,"Philadelphia"
2020-04-09,12475,1460,"Philadelphia"
2020-04-10,13713,1238,"Philadelphia"
2020-04-11,14914,1201,"Philadelphia"
2020-04-12,15813,899,"Philadelphia"
2020-04-13,16863,1050,"Philadelphia"
2020-04-14,17746,883,"Philadelphia"
2020-04-15,18574,828,"Philadelphia"
2020-04-16,19795,1221,"Philadelphia"
2020-04-17,21156,1361,"Philadelphia"
2020-04-18,22185,1029,"Philadelphia"
2020-04-19,23257,1072,"Philadelphia"
2020-04-20,24201,944,"Philadelphia"
2020-04-21,25406,1205,"Philadelphia"
2020-04-22,26661,1255,"Philadelphia"
2020-04-23,28042,1381,"Philadelphia"
2020-04-24,29605,1563,"Philadelphia"
2020-04-25,30611,1006,"Philadelphia"
2020-04-26,31616,1005,"Philadelphia"
2020-04-27,32662,1046,"Philadelphia"
2020-04-28,34157,1495,"Philadelphia"
2020-04-29,34847,690,"Philadelphia"
2020-04-30,36596,1749,"Philadelphia"
2020-05-01,38016,1420,"Philadelphia"
2020-05-02,39149,1133,"Philadelphia"
2020-05-03,40205,1056,"Philadelphia"
2020-01-21,0,0,"San Francisco"
2020-01-22,0,0,"San Francisco"
2020-01-23,0,0,"San Francisco"
2020-01-24,0,0,"San Francisco"
2020-01-25,0,0,"San Francisco"
2020-01-26,0,0,"San Francisco"
2020-01-27,0,0,"San Francisco"
2020-01-28,0,0,"San Francisco"
2020-01-29,0,0,"San Francisco"
2020-01-30,0,0,"San Francisco"
2020-01-31,0,0,"San Francisco"
2020-02-01,0,0,"San Francisco"
2020-02-02,2,2,"San Francisco"
2020-02-03,2,0,"San Francisco"
2020-02-04,2,0,"San Francisco"
2020-02-05,2,0,"San Francisco"
2020-02-06,2,0,"San Francisco"
2020-02-07,2,0,"San Francisco"
2020-02-08,2,0,"San Francisco"
2020-02-09,2,0,"San Francisco"
2020-02-10,2,0,"San Francisco"
2020-02-11,2,0,"San Francisco"
2020-02-12,2,0,"San Francisco"
2020-02-13,2,0,"San Francisco"
2020-02-14,2,0,"San Francisco"
2020-02-15,2,0,"San Francisco"
2020-02-16,2,0,"San Francisco"
2020-03-30,1273,94,"San Francisco"
2020-03-31,1367,94,"San Francisco"
2020-04-01,1563,196,"San Francisco"
2020-04-02,1714,151,"San Francisco"
2020-04-03,1888,174,"San Francisco"
2020-04-04,2021,133,"San Francisco"
2020-04-05,2240,219,"San Francisco"
2020-04-06,2334,94,"San Francisco"
2020-04-07,2456,122,"San Francisco"
2020-04-08,2602,146,"San Francisco"
2020-04-09,2732,130,"San Francisco"
2020-04-10,2869,137,"San Francisco"
2020-04-11,3022,153,"San Francisco"
2020-04-12,3094,72,"San Francisco"
2020-04-13,3290,196,"San Francisco"
2020-04-14,3416,126,"San Francisco"
2020-04-15,3565,149,"San Francisco"
2020-04-16,3676,111,"San Francisco"
2020-04-17,3777,101,"San Francisco"
2020-04-18,3987,210,"San Francisco"
2020-04-19,4071,84,"San Francisco"
2020-04-20,4257,186,"San Francisco"
2020-04-21,4378,121,"San Francisco"
2020-04-22,4420,42,"San Francisco"
2020-04-23,4602,182,"San Francisco"
2020-04-24,4752,150,"San Francisco"
2020-04-25,4862,110,"San Francisco"
2020-04-26,4960,98,"San Francisco"
2020-04-27,5081,121,"San Francisco"
2020-04-28,5194,113,"San Francisco"
2020-04-29,5316,122,"San Francisco"
2020-04-30,5431,115,"San Francisco"
2020-05-01,5527,96,"San Francisco"
2020-05-02,5687,160,"San Francisco"
2020-05-03,5862,175,"San Francisco"
2020-01-21,1,0,"Seattle"
2020-01-22,1,0,"Seattle"
2020-01-23,1,0,"Seattle"
2020-01-24,1,0,"Seattle"
2020-01-25,1,0,"Seattle"
2020-01-26,1,0,"Seattle"
2020-01-27,1,0,"Seattle"
2020-01-28,1,0,"Seattle"
2020-01-29,1,0,"Seattle"
2020-01-30,1,0,"Seattle"
2020-01-31,1,0,"Seattle"
2020-02-01,1,0,"Seattle"
2020-02-02,1,0,"Seattle"
2020-02-03,1,0,"Seattle"
2020-02-04,1,0,"Seattle"
2020-02-05,1,0,"Seattle"
2020-02-06,1,0,"Seattle"
2020-02-07,1,0,"Seattle"
2020-02-08,1,0,"Seattle"
2020-02-09,1,0,"Seattle"
2020-02-10,1,0,"Seattle"
2020-02-11,1,0,"Seattle"
2020-02-12,1,0,"Seattle"
2020-02-13,1,0,"Seattle"
2020-02-14,1,0,"Seattle"
2020-02-15,1,0,"Seattle"
2020-02-16,1,0,"Seattle"
2020-03-30,3811,263,"Seattle"
2020-03-31,3913,102,"Seattle"
2020-04-01,4226,313,"Seattle"
2020-04-02,4532,306,"Seattle"
2020-04-03,4816,284,"Seattle"
2020-04-04,5029,213,"Seattle"
2020-04-05,5422,393,"Seattle"
2020-04-06,5659,237,"Seattle"
2020-04-07,5913,254,"Seattle"
2020-04-08,6186,273,"Seattle"
2020-04-09,6434,248,"Seattle"
2020-04-10,6802,368,"Seattle"
2020-04-11,7029,227,"Seattle"
2020-04-12,7234,205,"Seattle"
2020-04-13,7442,208,"Seattle"
2020-04-14,7594,152,"Seattle"
2020-04-15,7737,143,"Seattle"
2020-04-16,7934,197,"Seattle"
2020-04-17,8085,151,"Seattle"
2020-04-18,8354,269,"Seattle"
2020-04-19,8545,191,"Seattle"
2020-04-20,8715,170,"Seattle"
2020-04-21,8833,118,"Seattle"
2020-04-22,8974,141,"Seattle"
2020-04-23,9153,179,"Seattle"
2020-04-24,9328,175,"Seattle"
2020-04-25,9504,176,"Seattle"
2020-04-26,9633,129,"Seattle"
2020-04-27,9796,163,"Seattle"
2020-04-28,9920,124,"Seattle"
2020-04-29,10119,199,"Seattle"
2020-04-30,10310,191,"Seattle"
2020-05-01,10462,152,"Seattle"
2020-05-02,10619,157,"Seattle"
2020-05-03,10997,378,"Seattle"
2020-01-21,0,0,"Washington, D.C."
2020-01-22,0,0,"Washington, D.C."
2020-01-23,0,0,"Washington, D.C."
2020-01-24,0,0,"Washington, D.C."
2020-01-25,0,0,"Washington, D.C."
2020-01-26,0,0,"Washington, D.C."
2020-01-27,0,0,"Washington, D.C."
2020-01-28,0,0,"Washington, D.C."
2020-01-29,0,0,"Washington, D.C."
2020-01-30,0,0,"Washington, D.C."
2020-01-31,0,0,"Washington, D.C."
2020-02-01,0,0,"Washington, D.C."
2020-02-02,0,0,"Washington, D.C."
2020-02-03,0,0,"Washington, D.C."
2020-02-04,0,0,"Washington, D.C."
2020-02-05,0,0,"Washington, D.C."
2020-02-06,0,0,"Washington, D.C."
2020-02-07,0,0,"Washington, D.C."
2020-02-08,0,0,"Washington, D.C."
2020-02-09,0,0,"Washington, D.C."
2020-02-10,0,0,"Washington, D.C."
2020-02-11,0,0,"Washington, D.C."
2020-02-12,0,0,"Washington, D.C."
2020-02-13,0,0,"Washington, D.C."
2020-02-14,0,0,"Washington, D.C."
2020-02-15,0,0,"Washington, D.C."
2020-02-16,0,0,"Washington, D.C."
2020-03-30,1639,211,"Washington, D.C."
2020-03-31,1937,298,"Washington, D.C."
2020-04-01,2270,333,"Washington, D.C."
2020-04-02,2572,302,"Washington, D.C."
2020-04-03,2979,407,"Washington, D.C."
2020-04-04,3432,453,"Washington, D.C."
2020-04-05,3897,465,"Washington, D.C."
2020-04-06,4427,530,"Washington, D.C."
2020-04-07,4951,524,"Washington, D.C."
2020-04-08,5921,970,"Washington, D.C."
2020-04-09,6594,673,"Washington, D.C."
2020-04-10,7473,879,"Washington, D.C."
2020-04-11,8350,877,"Washington, D.C."
2020-04-12,8819,469,"Washington, D.C."
2020-04-13,9579,760,"Washington, D.C."
2020-04-14,10204,625,"Washington, D.C."
2020-04-15,10805,601,"Washington, D.C."
2020-04-16,11658,853,"Washington, D.C."
2020-04-17,12509,851,"Washington, D.C."
2020-04-18,13409,900,"Washington, D.C."
2020-04-19,14236,827,"Washington, D.C."
2020-04-20,15107,871,"Washington, D.C."
2020-04-21,15949,842,"Washington, D.C."
2020-04-22,16685,736,"Washington, D.C."
2020-04-23,17711,1026,"Washington, D.C."
