"x","y","cell.index","cell.id","grid_size_km"
1,1,1,"1_1",2
2,1,2,"2_1",2
3,1,3,"3_1",2
4,1,4,"4_1",2
5,1,5,"5_1",2
6,1,6,"6_1",2
7,1,7,"7_1",2
8,1,8,"8_1",2
9,1,9,"9_1",2
10,1,10,"10_1",2
11,1,11,"11_1",2
12,1,12,"12_1",2
13,1,13,"13_1",2
14,1,14,"14_1",2
15,1,15,"15_1",2
16,1,16,"16_1",2
17,1,17,"17_1",2
18,1,18,"18_1",2
19,1,19,"19_1",2
20,1,20,"20_1",2
21,1,21,"21_1",2
22,1,22,"22_1",2
23,1,23,"23_1",2
24,1,24,"24_1",2
25,1,25,"25_1",2
26,1,26,"26_1",2
27,1,27,"27_1",2
28,1,28,"28_1",2
29,1,29,"29_1",2
30,1,30,"30_1",2
31,1,31,"31_1",2
32,1,32,"32_1",2
33,1,33,"33_1",2
34,1,34,"34_1",2
35,1,35,"35_1",2
36,1,36,"36_1",2
37,1,37,"37_1",2
38,1,38,"38_1",2
39,1,39,"39_1",2
40,1,40,"40_1",2
41,1,41,"41_1",2
42,1,42,"42_1",2
43,1,43,"43_1",2
44,1,44,"44_1",2
45,1,45,"45_1",2
46,1,46,"46_1",2
47,1,47,"47_1",2
48,1,48,"48_1",2
49,1,49,"49_1",2
50,1,50,"50_1",2
1,2,51,"1_2",2
2,2,52,"2_2",2
3,2,53,"3_2",2
4,2,54,"4_2",2
5,2,55,"5_2",2
6,2,56,"6_2",2
7,2,57,"7_2",2
8,2,58,"8_2",2
9,2,59,"9_2",2
10,2,60,"10_2",2
11,2,61,"11_2",2
12,2,62,"12_2",2
13,2,63,"13_2",2
14,2,64,"14_2",2
15,2,65,"15_2",2
16,2,66,"16_2",2
17,2,67,"17_2",2
18,2,68,"18_2",2
19,2,69,"19_2",2
20,2,70,"20_2",2
21,2,71,"21_2",2
22,2,72,"22_2",2
23,2,73,"23_2",2
24,2,74,"24_2",2
25,2,75,"25_2",2
26,2,76,"26_2",2
27,2,77,"27_2",2
28,2,78,"28_2",2
29,2,79,"29_2",2
