"city","grid_size_km","grid_size_label","Business as usual","Emergency","delta_rho"
"cityA",0.5,"0.5 km",0.347578384475945,0.349461746569265,0.00188336209331996
"cityA",1,"1 km",0.406727359898456,0.406316122523811,-0.00041123737464499
"cityA",2,"2 km",0.414867127715097,0.413949712555913,-0.000917415159183976
"cityB",0.5,"0.5 km",0.288960321365024,0.29276822973056,0.00380790836553602
"cityB",1,"1 km",0.265073766564772,0.265025628060688,-4.81385040839721e-05
"cityB",2,"2 km",0.269722377598665,0.198395139013003,-0.071327238585662
"cityC",0.5,"0.5 km",0.390239620823413,0.386894550112641,-0.003345070710772
"cityC",1,"1 km",0.394676679344748,0.387371338795799,-0.00730534054894899
"cityC",2,"2 km",0.399999686736453,0.406579644265166,0.00657995752871304
"cityD",0.5,"0.5 km",0.285443260048774,0.290586237188514,0.00514297713973999
"cityD",1,"1 km",0.278483496584375,0.271735698494424,-0.00674779808995096
"cityD",2,"2 km",0.295785812560136,0.275007376644933,-0.020778435915203
