place_fips,place_name,total_population
125240,"Fairhope city, Alabama",21083
125384,"Fairview town, Alabama",492
125648,"Falkville town, Alabama",1348
125816,"Faunsdale town, Alabama",23
125840,"Fayette city, Alabama",4364
125864,"Fayetteville CDP, Alabama",1378
126152,"Fitzpatrick CDP, Alabama",0
126200,"Five Points town, Alabama",107
126824,"Flomaton town, Alabama",1652
126848,"Florala town, Alabama",1551
126896,"Florence city, Alabama",40309
126992,"Foley city, Alabama",18533
127088,"Forestdale CDP, Alabama",8924
127376,"Forkland town, Alabama",905
127520,"Fort Deposit town, Alabama",1835
127616,"Fort Payne city, Alabama",14115
127640,"Fort Rucker CDP, Alabama",5311
128024,"Franklin town, Alabama",630
128120,"Fredonia CDP, Alabama",229
128312,"Frisco City town, Alabama",1539
128408,"Fruitdale CDP, Alabama",104
128432,"Fruithurst town, Alabama",247
128504,"Fulton town, Alabama",230
128552,"Fultondale city, Alabama",9179
128672,"Fyffe town, Alabama",1203
128696,"Gadsden city, Alabama",35486
128768,"Gainesville town, Alabama",163
128816,"Gallant CDP, Alabama",833
128936,"Gantt town, Alabama",158
129032,"Garden City town, Alabama",557
129056,"Gardendale city, Alabama",14016
129296,"Gaylesville town, Alabama",171
129392,"Geiger town, Alabama",239
129464,"Geneva city, Alabama",4340
129560,"Georgiana town, Alabama",1806
129608,"Geraldine town, Alabama",1116
129704,"Gilbertown town, Alabama",256
129944,"Glen Allen town, Alabama",367
129992,"Glencoe city, Alabama",5077
130160,"Glenwood town, Alabama",262
130448,"Goldville town, Alabama",52
130496,"Good Hope city, Alabama",2620
130640,"Goodwater town, Alabama",1261
130736,"Gordo town, Alabama",1660
130760,"Gordon town, Alabama",306
130808,"Gordonville town, Alabama",182
130880,"Goshen town, Alabama",224
131000,"Graham CDP, Alabama",45
131024,"Grand Bay CDP, Alabama",3897
131096,"Grant town, Alabama",1040
131348,"Grayson Valley CDP, Alabama",6209
131384,"Graysville city, Alabama",1864
131720,"Greensboro city, Alabama",3149
131912,"Greenville city, Alabama",7589
132056,"Grimes town, Alabama",717
132080,"Grove Hill town, Alabama",1839
132224,"Guin city, Alabama",2684
132248,"Gulfcrest CDP, Alabama",259
132272,"Gulf Shores city, Alabama",12267
132416,"Guntersville city, Alabama",8468
132440,"Gurley town, Alabama",603
132536,"Gu-Win town, Alabama",123
132560,"Hackleburg town, Alabama",1307
132584,"Hackneyville CDP, Alabama",416
132656,"Haleburg town, Alabama",117
132704,"Haleyville city, Alabama",4159
132848,"Hamilton city, Alabama",6682
132896,"Hammondville town, Alabama",459
132968,"Hanceville city, Alabama",3377
133256,"Harpersville town, Alabama",1483
133424,"Hartford city, Alabama",2586
133448,"Hartselle city, Alabama",14428
133472,"Harvest CDP, Alabama",5819
133544,"Hatton CDP, Alabama",70
133640,"Hayden town, Alabama",1244
133712,"Hayneville town, Alabama",872
133808,"Hazel Green CDP, Alabama",3901
133856,"Headland city, Alabama",4665
133904,"Heath town, Alabama",302
133976,"Heflin city, Alabama",3437
134024,"Helena city, Alabama",18463
134096,"Henagar city, Alabama",2184
134480,"Highland Lake town, Alabama",416
134490,"Highland Lakes CDP, Alabama",5519
134816,"Hillsboro town, Alabama",593
134984,"Hissop CDP, Alabama",415
135130,"Hobson CDP, Alabama",156
135152,"Hobson City town, Alabama",755
135200,"Hodges town, Alabama",270
135392,"Hokes Bluff city, Alabama",4286
135512,"Hollins CDP, Alabama",797
135536,"Hollis Crossroads CDP, Alabama",679
135560,"Holly Pond town, Alabama",1064
135632,"Hollywood town, Alabama",1164
135704,"Holt CDP, Alabama",3952
135752,"Holtville CDP, Alabama",4449
135800,"Homewood city, Alabama",25534
135896,"Hoover city, Alabama",85175
136088,"Horn Hill town, Alabama",242
136448,"Hueytown city, Alabama",15540
136592,"Huguley CDP, Alabama",2583
137000,"Huntsville city, Alabama",196219
137096,"Hurtsboro town, Alabama",535
137264,"Hytop town, Alabama",424
137312,"Ider town, Alabama",682
137465,"Indian Springs Village city, Alabama",2549
137864,"Irondale city, Alabama",12637
138032,"Ivalee CDP, Alabama",887
138152,"Jackson city, Alabama",4781
138248,"Jacksons' Gap town, Alabama",698
138272,"Jacksonville city, Alabama",12651
138416,"Jasper city, Alabama",13649
138608,"Jemison city, Alabama",2630
139064,"Joppa CDP, Alabama",664
139280,"Kansas town, Alabama",245
139472,"Kellyton town, Alabama",172
139520,"Kennedy town, Alabama",448
139784,"Killen town, Alabama",1263
139856,"Kimberly city, Alabama",3444
140072,"Kinsey town, Alabama",2199
140096,"Kinston town, Alabama",741
140648,"Ladonia CDP, Alabama",3391
140672,"La Fayette city, Alabama",2943
140888,"Lakeview town, Alabama",128
140928,"Lake View town, Alabama",2452
141296,"Lanett city, Alabama",6271
141368,"Langston town, Alabama",211
141968,"Leeds city, Alabama",12600
142016,"Leesburg town, Alabama",946
142160,"Leighton town, Alabama",971
142304,"Leroy CDP, Alabama",964
142352,"Lester town, Alabama",157
142472,"Level Plains town, Alabama",2102
142640,"Lexington town, Alabama",912
142808,"Libertyville town, Alabama",59
142928,"Lillian CDP, Alabama",1728
143120,"Lincoln city, Alabama",6681
143240,"Linden city, Alabama",1794
143264,"Lineville city, Alabama",2332
143336,"Lipscomb city, Alabama",1873
143384,"Lisman town, Alabama",580
143648,"Littleville town, Alabama",966
143720,"Livingston city, Alabama",3356
143744,"Loachapoka town, Alabama",221
143816,"Lockhart town, Alabama",290
143888,"Locust Fork town, Alabama",1478
144160,"Lookout Mountain CDP, Alabama",1884
144344,"Louisville town, Alabama",604
144536,"Lowndesboro town, Alabama",92
144608,"Loxley town, Alabama",2501
144728,"Luverne city, Alabama",2770
144800,"Lynn town, Alabama",635
145208,"McDonald Chapel CDP, Alabama",573
145316,"Macedonia CDP, Alabama",200
145472,"McIntosh town, Alabama",310
145496,"McKenzie town, Alabama",776
145640,"McMullen town, Alabama",7
145784,"Madison city, Alabama",49327
145904,"Madrid town, Alabama",334
146072,"Magnolia Springs town, Alabama",968
146192,"Malcolm CDP, Alabama",354
146264,"Malvern town, Alabama",1582
146504,"Maplesville town, Alabama",636
146600,"Marbury CDP, Alabama",1633
146696,"Margaret town, Alabama",4819
146768,"Marion city, Alabama",3275
147728,"Maytown town, Alabama",354
147740,"Meadowbrook CDP, Alabama",9468
147848,"Megargel CDP, Alabama",16
148052,"Memphis town, Alabama",24
148064,"Mentone town, Alabama",307
148112,"Meridianville CDP, Alabama",7087
148376,"Midfield city, Alabama",5085
148400,"Midland City town, Alabama",1961
148424,"Midway town, Alabama",683
148616,"Mignon CDP, Alabama",850
148712,"Millbrook city, Alabama",15645
148784,"Millerville CDP, Alabama",186
148808,"Millport town, Alabama",990
148832,"Millry town, Alabama",697
149072,"Minor CDP, Alabama",843
150000,"Mobile city, Alabama",190432
150192,"Monroeville city, Alabama",5898
150312,"Montevallo city, Alabama",6693
151000,"Montgomery city, Alabama",199783
151096,"Moody city, Alabama",12840
151216,"Moores Mill CDP, Alabama",6882
151264,"Mooresville town, Alabama",84
151456,"Morris town, Alabama",1841
151469,"Morrison Crossroads CDP, Alabama",254
151520,"Mosses town, Alabama",846
151600,"Moulton city, Alabama",3285
151648,"Moundville town, Alabama",3017
151696,"Mountain Brook city, Alabama",20436
152320,"Mount Olive CDP (Coosa County), Alabama",358
152344,"Mount Olive CDP (Jefferson County), Alabama",4387
152608,"Mount Vernon town, Alabama",1450
152680,"Movico CDP, Alabama",86
152776,"Mulga town, Alabama",856
152848,"Munford town, Alabama",1410
153016,"Muscle Shoals city, Alabama",14103
153112,"Myrtlewood town, Alabama",152
153208,"Nanafalia CDP, Alabama",29
153232,"Nances Creek CDP, Alabama",476
153256,"Napier Field town, Alabama",532
153376,"Natural Bridge town, Alabama",4
153400,"Nauvoo town, Alabama",138
153448,"Nectar town, Alabama",376
153472,"Needham town, Alabama",73
153784,"Newbern town, Alabama",228
153856,"New Brockton town, Alabama",1146
154168,"New Hope city, Alabama",2854
154312,"New Market CDP, Alabama",1122
154432,"New Site town, Alabama",841
154480,"Newton town, Alabama",1869
154582,"New Union CDP, Alabama",829
154600,"Newville town, Alabama",433
155044,"North Courtland town, Alabama",770
155152,"North Johns town, Alabama",143
155200,"Northport city, Alabama",25874
155440,"Notasulga town, Alabama",1011
155752,"Oak Grove town, Alabama",562
155848,"Oak Hill town, Alabama",22
155992,"Oakman town, Alabama",638
156400,"Odenville town, Alabama",3848
156472,"Ohatchee town, Alabama",1410
157000,"Oneonta city, Alabama",6568
157024,"Onycha town, Alabama",74
157048,"Opelika city, Alabama",30232
157120,"Opp city, Alabama",6455
157144,"Orange Beach city, Alabama",6019
157240,"Orrville town, Alabama",154
157384,"Our Town CDP, Alabama",688
157504,"Owens Cross Roads town, Alabama",2069
157576,"Oxford city, Alabama",21323
157648,"Ozark city, Alabama",14413
157696,"Paint Rock town, Alabama",200
157912,"Panola CDP, Alabama",39
158272,"Parrish town, Alabama",1087
158848,"Pelham city, Alabama",23428
158896,"Pell City city, Alabama",13781
158968,"Pennington town, Alabama",321
159016,"Penton CDP, Alabama",98
159064,"Perdido CDP, Alabama",795
159088,"Perdido Beach town, Alabama",494
159232,"Peterman CDP, Alabama",147
159328,"Petrey town, Alabama",66
159472,"Phenix City city, Alabama",36516
159496,"Phil Campbell town, Alabama",1009
159592,"Pickensville town, Alabama",798
159640,"Piedmont city, Alabama",4611
159760,"Pike Road town, Alabama",9320
159832,"Pinckard town, Alabama",576
159880,"Pine Apple town, Alabama",129
160240,"Pine Hill town, Alabama",927
160264,"Pine Level CDP, Alabama",4484
160372,"Pine Ridge town, Alabama",475
160648,"Pinson city, Alabama",7109
160720,"Pisgah town, Alabama",734
161008,"Pleasant Grove city, Alabama",9651
161038,"Pleasant Groves town, Alabama",441
161488,"Point Clear CDP, Alabama",2652
161536,"Pollard town, Alabama",126
162075,"Powell town, Alabama",1261
162328,"Prattville city, Alabama",35925
162472,"Priceville town, Alabama",3475
162496,"Prichard city, Alabama",21773
162688,"Providence town, Alabama",158
162952,"Putnam CDP, Alabama",45
163216,"Ragland town, Alabama",1889
163288,"Rainbow City city, Alabama",9589
163336,"Rainsville city, Alabama",5041
163408,"Ranburne town, Alabama",461
163495,"Ray CDP, Alabama",300
163576,"Red Bay city, Alabama",3114
163730,"Redland CDP, Alabama",4388
163768,"Red Level town, Alabama",385
163912,"Redstone Arsenal CDP, Alabama",1329
163984,"Reece City town, Alabama",719
164040,"Reeltown CDP, Alabama",274
164104,"Reform town, Alabama",1621
164152,"Rehobeth town, Alabama",2059
164368,"Repton town, Alabama",491
164656,"Ridgeville town, Alabama",86
164776,"River Falls town, Alabama",585
164920,"Riverside city, Alabama",3042
165016,"Riverview town, Alabama",106
165040,"Roanoke city, Alabama",5926
165208,"Robertsdale city, Alabama",6473
165412,"Rock Creek CDP, Alabama",1508
165472,"Rockford town, Alabama",838
165592,"Rock Mills CDP, Alabama",493
165784,"Rockville CDP, Alabama",12
166216,"Rogersville town, Alabama",1424
166408,"Rosa town, Alabama",431
167056,"Russellville city, Alabama",9781
167176,"Rutledge town, Alabama",357
167536,"St. Florian town, Alabama",470
167584,"St. Stephens CDP, Alabama",441
167608,"Saks CDP, Alabama",10645
167800,"Samson city, Alabama",1686
167920,"Sand Rock town, Alabama",458
168016,"Sanford town, Alabama",249
168160,"Saraland city, Alabama",14391
168280,"Sardis City town, Alabama",1742
168352,"Satsuma city, Alabama",6159
168736,"Scottsboro city, Alabama",14526
169000,"Section town, Alabama",971
169120,"Selma city, Alabama",18276
169180,"Selmont-West Selmont CDP, Alabama",1812
169240,"Semmes city, Alabama",5284
169648,"Sheffield city, Alabama",8986
169672,"Shelby CDP, Alabama",885
169840,"Shiloh town, Alabama",338
169978,"Shoal Creek CDP, Alabama",1376
170128,"Shorter town, Alabama",356
170416,"Silas town, Alabama",513
170536,"Silverhill town, Alabama",645
170632,"Sims Chapel CDP, Alabama",0
170704,"Sipsey town, Alabama",373
170896,"Skyline town, Alabama",870
171040,"Slocomb city, Alabama",1852
171190,"Smiths Station city, Alabama",5364
171201,"Smoke Rise CDP, Alabama",2101
171280,"Snead town, Alabama",893
171496,"Somerville town, Alabama",547
171832,"Southside city, Alabama",8811
171900,"South Vinemont town, Alabama",707
171976,"Spanish Fort city, Alabama",8601
172408,"Spring Garden CDP, Alabama",187
172600,"Springville city, Alabama",4257
172672,"Spruce Pine CDP, Alabama",178
172720,"Standing Rock CDP, Alabama",168
172816,"Stapleton CDP, Alabama",1421
172888,"Steele town, Alabama",1149
173056,"Sterrett CDP, Alabama",977
173080,"Stevenson town, Alabama",1705
173152,"Stewartville CDP, Alabama",1634
173272,"Stockton CDP, Alabama",626
173728,"Sulligent city, Alabama",1917
173848,"Sumiton city, Alabama",2472
173872,"Summerdale town, Alabama",1135
174160,"Susan Moore town, Alabama",849
174304,"Sweet Water town, Alabama",385
174352,"Sylacauga city, Alabama",12226
174400,"Sylvania town, Alabama",2546
174424,"Sylvan Springs town, Alabama",1890
174592,"Talladega city, Alabama",15522
174616,"Talladega Springs town, Alabama",161
174688,"Tallassee city, Alabama",4743
174976,"Tarrant city, Alabama",6174
175096,"Taylor town, Alabama",2286
175768,"Theodore CDP, Alabama",6334
175936,"Thomaston town, Alabama",380
175960,"Thomasville city, Alabama",3928
176080,"Thorsby town, Alabama",1941
176200,"Tibbie CDP, Alabama",81
176208,"Tidmore Bend CDP, Alabama",1221
176320,"Tillmans Corner CDP, Alabama",17560
176584,"Town Creek town, Alabama",1149
176632,"Toxey town, Alabama",109
176680,"Trafford town, Alabama",594
176824,"Triana town, Alabama",868
176872,"Trinity town, Alabama",2493
176920,"Troy city, Alabama",19112
176944,"Trussville city, Alabama",21876
177256,"Tuscaloosa city, Alabama",99390
177280,"Tuscumbia city, Alabama",8444
177304,"Tuskegee city, Alabama",8486
177352,"Twin town, Alabama",387
177580,"Underwood-Petersville CDP, Alabama",3170
177616,"Union town, Alabama",308
177784,"Union Grove town, Alabama",87
177880,"Union Springs city, Alabama",3514
177904,"Uniontown town, Alabama",1880
178120,"Uriah CDP, Alabama",318
178204,"Valley city, Alabama",9286
178232,"Valley Grande city, Alabama",3708
178240,"Valley Head town, Alabama",699
178264,"Vance town, Alabama",1519
178312,"Vandiver CDP, Alabama",949
178480,"Vernon city, Alabama",1961
178552,"Vestavia Hills city, Alabama",34307
178984,"Vina town, Alabama",393
179008,"Vincent town, Alabama",1918
179032,"Vinegar Bend CDP, Alabama",383
179272,"Vredenburgh town, Alabama",241
179344,"Wadley town, Alabama",829
179488,"Waldo town, Alabama",235
179728,"Walnut Grove town, Alabama",833
179944,"Warrior city, Alabama",3214
180064,"Waterloo town, Alabama",140
180256,"Waverly town, Alabama",179
180352,"Weaver city, Alabama",3077
180376,"Webb town, Alabama",1427
180496,"Wedowee town, Alabama",820
180736,"Weogufka CDP, Alabama",299
180928,"West Blocton town, Alabama",1240
181084,"West End-Cobb Town CDP, Alabama",3274
181336,"West Jefferson town, Alabama",468
181504,"Westover town, Alabama",1660
181528,"West Point town, Alabama",614
181720,"Wetumpka city, Alabama",8243
181744,"Whatley CDP, Alabama",280
181912,"White Hall town, Alabama",711
182104,"White Plains CDP, Alabama",850
182176,"Whitesboro CDP, Alabama",2602
182848,"Wilsonville town, Alabama",2268
182872,"Wilton town, Alabama",749
182992,"Winfield city, Alabama",4539
183400,"Woodland town, Alabama",240
183640,"Woodstock town, Alabama",1972
183664,"Woodville town, Alabama",794
183976,"Yellow Bluff town, Alabama",103
184096,"York city, Alabama",2529
200065,"Adak city, Alaska",226
200650,"Akhiok city, Alaska",59
200760,"Akiachak CDP, Alaska",573
200870,"Akiak city, Alaska",381
201090,"Akutan city, Alaska",731
201200,"Alakanuk city, Alaska",813
201305,"Alatna CDP, Alaska",13
201390,"Alcan Border CDP, Alaska",176
201420,"Aleknagik city, Alaska",179
201560,"Aleneva CDP, Alaska",27
201860,"Allakaket city, Alaska",213
201970,"Ambler city, Alaska",260
202080,"Anaktuvuk Pass city, Alaska",315
203000,"Anchorage municipality, Alaska",293531
203110,"Anchor Point CDP, Alaska",2129
203220,"Anderson city, Alaska",172
203440,"Angoon city, Alaska",506
203550,"Aniak city, Alaska",526
203880,"Anvik city, Alaska",105
203990,"Arctic Village CDP, Alaska",185
204210,"Atka city, Alaska",43
204430,"Atmautluak CDP, Alaska",189
204500,"Atqasuk city, Alaska",162
204670,"Attu Station CDP, Alaska",17
205000,"Badger CDP, Alaska",18911
205585,"Bear Creek CDP, Alaska",1178
205750,"Beaver CDP, Alaska",70
206245,"Beluga CDP, Alaska",5
206520,"Bethel city, Alaska",6472
206630,"Bettles city, Alaska",84
206850,"Big Delta CDP, Alaska",556
207070,"Big Lake CDP, Alaska",2678
207620,"Birch Creek CDP, Alaska",4
208740,"Brevig Mission city, Alaska",384
209600,"Buckland city, Alaska",675
209657,"Buffalo Soapstone CDP, Alaska",975
209710,"Butte CDP, Alaska",4015
210150,"Cantwell CDP, Alaska",178
211690,"Central CDP, Alaska",40
211800,"Chalkyitsik CDP, Alaska",109
212350,"Chase CDP, Alaska",0
212680,"Chefornak city, Alaska",483
212920,"Chena Ridge CDP, Alaska",6111
212970,"Chenega CDP, Alaska",68
213230,"Chevak city, Alaska",1037
213340,"Chickaloon CDP, Alaska",210
213450,"Chicken CDP, Alaska",12
213550,"Chignik city, Alaska",57
213670,"Chignik Lagoon CDP, Alaska",69
213780,"Chignik Lake CDP, Alaska",49
213860,"Chiniak CDP, Alaska",0
213890,"Chisana CDP, Alaska",0
214000,"Chistochina CDP, Alaska",80
214110,"Chitina CDP, Alaska",61
214330,"Chuathbaluk city, Alaska",111
214880,"Circle CDP, Alaska",64
215320,"Clam Gulch CDP, Alaska",227
215430,"Clark's Point city, Alaska",44
216360,"Coffman Cove city, Alaska",152
216420,"Cohoe CDP, Alaska",1223
216530,"Cold Bay city, Alaska",56
216630,"Coldfoot CDP, Alaska",156
216750,"College CDP, Alaska",12791
217190,"Cooper Landing CDP, Alaska",478
217300,"Copper Center CDP, Alaska",245
217410,"Cordova city, Alaska",2829
217670,"Covenant Life CDP, Alaska",37
217740,"Craig city, Alaska",1189
217850,"Crooked Creek CDP, Alaska",75
217960,"Crown Point CDP, Alaska",73
218510,"Deering city, Alaska",143
218620,"Delta Junction city, Alaska",993
218675,"Deltana CDP, Alaska",2430
218805,"Denali Park CDP, Alaska",872
218925,"Diamond Ridge CDP, Alaska",1245
218950,"Dillingham city, Alaska",2215
219060,"Diomede city, Alaska",93
219720,"Dot Lake CDP, Alaska",0
219750,"Dot Lake Village CDP, Alaska",36
220020,"Dry Creek CDP, Alaska",119
220380,"Eagle city, Alaska",86
220600,"Eagle Village CDP, Alaska",48
220970,"Edna Bay city, Alaska",35
221040,"Eek city, Alaska",523
221150,"Egegik city, Alaska",58
221370,"Eielson AFB CDP, Alaska",3229
221810,"Ekwok city, Alaska",78
222140,"Elfin Cove CDP, Alaska",4
222250,"Elim city, Alaska",268
222910,"Emmonak city, Alaska",855
223460,"Ester CDP, Alaska",1622
223720,"Eureka Roadhouse CDP, Alaska",0
223790,"Evansville CDP, Alaska",11
223900,"Excursion Inlet CDP, Alaska",32
224230,"Fairbanks city, Alaska",31551
224660,"False Pass city, Alaska",56
224980,"Farmers Loop CDP, Alaska",5214
225000,"Farm Loop CDP, Alaska",1170
225220,"Ferry CDP, Alaska",20
225550,"Fishhook CDP, Alaska",6788
225880,"Flat CDP, Alaska",0
226100,"Fort Greely CDP, Alaska",144
226760,"Fort Yukon city, Alaska",561
226835,"Four Mile Road CDP, Alaska",3
226870,"Fox CDP, Alaska",448
226910,"Fox River CDP, Alaska",517
227090,"Fritz Creek CDP, Alaska",2074
227145,"Funny River CDP, Alaska",1331
227420,"Gakona CDP, Alaska",154
227530,"Galena city, Alaska",495
227640,"Gambell city, Alaska",591
227700,"Game Creek CDP, Alaska",0
228200,"Gateway CDP, Alaska",7076
228590,"Glacier View CDP, Alaska",220
228740,"Glennallen CDP, Alaska",411
229130,"Goldstream CDP, Alaska",3592
229180,"Golovin city, Alaska",142
229290,"Goodnews Bay city, Alaska",182
230060,"Grayling city, Alaska",183
230500,"Gulkana CDP, Alaska",84
230940,"Gustavus city, Alaska",454
231050,"Haines CDP, Alaska",1863
231270,"Halibut Cove CDP, Alaska",91
231710,"Happy Valley CDP, Alaska",588
231765,"Harding-Birch Lakes CDP, Alaska",154
232150,"Healy CDP, Alaska",968
232310,"Healy Lake CDP, Alaska",7
232550,"Hobart Bay CDP, Alaska",0
232810,"Hollis CDP, Alaska",193
233030,"Holy Cross city, Alaska",220
233140,"Homer city, Alaska",5709
233360,"Hoonah city, Alaska",808
233470,"Hooper Bay city, Alaska",1141
233580,"Hope CDP, Alaska",70
233800,"Houston city, Alaska",1977
233910,"Hughes city, Alaska",72
234350,"Huslia city, Alaska",369
234460,"Hydaburg city, Alaska",342
234570,"Hyder CDP, Alaska",14
234790,"Igiugig CDP, Alaska",71
235120,"Iliamna CDP, Alaska",55
235890,"Ivanof Bay CDP, Alaska",0
236400,"Juneau city and borough, Alaska",32227
236540,"Kachemak city, Alaska",474
236770,"Kake city, Alaska",570
236990,"Kaktovik city, Alaska",178
237250,"Kalifornsky CDP, Alaska",8581
237430,"Kaltag city, Alaska",180
237540,"Karluk CDP, Alaska",29
237650,"Kasaan city, Alaska",72
237975,"Kasigluk CDP, Alaska",543
238090,"Kasilof CDP, Alaska",754
238420,"Kenai city, Alaska",7742
