"day","lag","rho","error","index","model"
2020-02-10,38,0.41004129797258,80.501333470551,"exp","gravity"
2020-02-11,38,0.409616183554746,77.0104117082698,"exp","gravity"
2020-02-12,38,0.409689899700902,77.5917378128038,"exp","gravity"
2020-02-13,38,0.409687595049964,77.5734168881321,"exp","gravity"
2020-02-14,38,0.410208469930894,81.9715995967964,"exp","gravity"
2020-02-15,38,0.409348714486926,74.979323189948,"exp","gravity"
2020-02-16,38,0.408596637107616,70.0225118313517,"exp","gravity"
2020-03-30,38,0.403648801439926,49.0924787770719,"exp","gravity"
2020-03-31,38,0.403162351130689,47.760098536172,"exp","gravity"
2020-04-01,38,0.405507458590284,55.0839748852638,"exp","gravity"
2020-04-02,38,0.405613775522893,55.478085475535,"exp","gravity"
2020-04-03,38,0.406245224578512,57.9139010037218,"exp","gravity"
2020-04-04,38,0.404908964293702,52.9787968392387,"exp","gravity"
2020-04-05,38,0.40373720703489,49.3438612551928,"exp","gravity"
2020-02-10,38,0.416991665268567,79.4400596538196,"exp","radial"
2020-02-11,38,0.416626434470317,76.0064353184929,"exp","radial"
2020-02-12,38,0.41668969233137,76.5782125285828,"exp","radial"
2020-02-13,38,0.416687714137551,76.5601924973586,"exp","radial"
2020-02-14,38,0.417124887525648,80.88622463485,"exp","radial"
2020-02-15,38,0.416397211422383,74.0087346274625,"exp","radial"
2020-02-16,38,0.415778473079917,69.1335866464098,"exp","radial"
2020-03-30,38,0.41149220512315,48.5527706368897,"exp","radial"
2020-03-31,38,0.411072077897907,47.2429893644162,"exp","radial"
2020-04-01,38,0.413094311250149,54.443322838804,"exp","radial"
2020-04-02,38,0.413188929335744,54.8308276825671,"exp","radial"
2020-04-03,38,0.413729700288514,57.2258962870927,"exp","radial"
2020-04-04,38,0.412579184394785,52.3734968270686,"exp","radial"
2020-04-05,38,0.411568524269639,48.7998961209943,"exp","radial"
